doc_id	topic_0	topic_1
399	0.147636	0.852364
400	0.035222	0.964778
401	0.261101	0.738899
402	0.654969	0.345031
403	0.139686	0.860314
404	0.036489	0.963511
405	0.049400	0.950600
406	0.117755	0.882245
407	0.048166	0.951834
408	0.033868	0.966132
409	0.055702	0.944298
410	0.034274	0.965726
411	0.284836	0.715164
412	0.156784	0.843216
413	0.893879	0.106121
414	0.434698	0.565302
415	0.034434	0.965566
416	0.242356	0.757644
417	0.032832	0.967168
418	0.041089	0.958911
419	0.476861	0.523139
420	0.032842	0.967158
421	0.024048	0.975952
422	0.044535	0.955465
423	0.029683	0.970317
424	0.038552	0.961448
425	0.462115	0.537885
426	0.231620	0.768380
427	0.028934	0.971066
428	0.030668	0.969332
429	0.307908	0.692092
430	0.847560	0.152440
431	0.387860	0.612140
432	0.731931	0.268069
433	0.034176	0.965824
434	0.036338	0.963662
435	0.037187	0.962813
436	0.202585	0.797415
437	0.214525	0.785475
438	0.460370	0.539630
439	0.035181	0.964819
440	0.493458	0.506542
441	0.112550	0.887450
442	0.028459	0.971541
443	0.129212	0.870788
444	0.028197	0.971803
445	0.447858	0.552142
446	0.629843	0.370157
447	0.957722	0.042278
448	0.107265	0.892735
449	0.113401	0.886599
450	0.019879	0.980121
451	0.031401	0.968599
452	0.036033	0.963967
453	0.048427	0.951573
454	0.034188	0.965812
455	0.534926	0.465074
456	0.077074	0.922926
457	0.255403	0.744597
458	0.028280	0.971720
459	0.192659	0.807341
460	0.286563	0.713437
461	0.020857	0.979143
462	0.025450	0.974550
463	0.297767	0.702233
464	0.037736	0.962264
465	0.056663	0.943337
466	0.032535	0.967465
467	0.023927	0.976073
468	0.032437	0.967563
469	0.038180	0.961820
470	0.032546	0.967454
471	0.077269	0.922731
472	0.175403	0.824597
473	0.633411	0.366589
474	0.028495	0.971505
475	0.021315	0.978685
476	0.873835	0.126165
477	0.077952	0.922048
478	0.021901	0.978099
479	0.035231	0.964769
480	0.504566	0.495434
481	0.021520	0.978480
482	0.097570	0.902430
483	0.030599	0.969401
484	0.148467	0.851533
485	0.036822	0.963178
486	0.048973	0.951027
487	0.039059	0.960941
488	0.039105	0.960895
489	0.037606	0.962394
490	0.038661	0.961339
491	0.037606	0.962394
492	0.023315	0.976685
493	0.032607	0.967393
494	0.081663	0.918337
495	0.082390	0.917610
